"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2022-06-29",381.230010986328,382.269989013672,378.420013427734,380.339996337891,65676000,363.5185546875
"2022-06-30",376.239990234375,380.660003662109,372.559997558594,377.25,112508300,360.565277099609
"2022-07-01",376.559997558594,381.700012207031,373.799987792969,381.239990234375,74839700,364.378753662109
"2022-07-05",375.880004882812,381.980010986328,372.899993896484,381.959991455078,81438000,365.06689453125
"2022-07-06",382.109985351562,385.869995117188,379.600006103516,383.25,70426200,366.299896240234
"2022-07-07",385.119995117188,389.829986572266,383.269989013672,388.989990234375,64525900,371.786041259766
"2022-07-08",387.269989013672,390.640014648438,385.660003662109,388.670013427734,72397800,371.480194091797
"2022-07-11",385.850006103516,386.869995117188,383.5,384.230010986328,58366900,367.236541748047
"2022-07-12",383.649993896484,386.160003662109,378.989990234375,380.829986572266,62219200,363.986907958984
"2022-07-13",375.100006103516,381.920013427734,374.660003662109,378.829986572266,84224600,362.075347900391
"2022-07-14",373.609985351562,379.049987792969,371.040008544922,377.910003662109,89704800,361.196075439453
"2022-07-15",382.549987792969,385.25,380.540008544922,385.130004882812,79060400,368.096740722656
"2022-07-18",388.380004882812,389.089996337891,380.660003662109,381.950012207031,63203600,365.057403564453
"2022-07-19",386.079986572266,392.869995117188,385.390014648438,392.269989013672,78506000,374.920928955078
"2022-07-20",392.470001220703,396.260009765625,391.029998779297,394.769989013672,71843800,377.310394287109
"2022-07-21",394.160003662109,398.839996337891,391.630004882812,398.790008544922,64903900,381.152587890625
"2022-07-22",398.920013427734,400.179992675781,392.75,395.089996337891,72197300,377.6162109375
"2022-07-25",395.75,396.470001220703,393.209991455078,395.570007324219,53631500,378.075012207031
"2022-07-26",393.839996337891,394.059997558594,389.950012207031,390.890014648438,52946400,373.601959228516
"2022-07-27",394.359985351562,402.880004882812,394.049987792969,401.040008544922,82342100,383.303131103516
"2022-07-28",401.890014648438,406.799987792969,398.149993896484,406.070007324219,73966600,388.110626220703
"2022-07-29",407.579986572266,413.029998779297,406.769989013672,411.989990234375,87003700,393.768737792969
"2022-08-01",409.149993896484,413.410003662109,408.399993896484,410.769989013672,69997500,392.602722167969
"2022-08-02",409.119995117188,413,406.820007324219,408.059997558594,63435400,390.012634277344
"2022-08-03",410.299987792969,415.679992675781,410,414.450012207031,67820600,396.120025634766
"2022-08-04",414.369995117188,415.089996337891,412.440002441406,414.170013427734,45656600,395.852447509766
"2022-08-05",409.660003662109,414.149993896484,409.600006103516,413.470001220703,56814900,395.183380126953
"2022-08-08",415.25,417.619995117188,411.829986572266,412.989990234375,53886100,394.724578857422
"2022-08-09",412.220001220703,412.75,410.220001220703,411.350006103516,44931800,393.157104492188
"2022-08-10",418.779998779297,420.140014648438,416.720001220703,419.989990234375,68665700,401.414916992188
"2022-08-11",422.989990234375,424.950012207031,419.209991455078,419.989990234375,59489700,401.414916992188
"2022-08-12",422.029998779297,427.209991455078,421.029998779297,427.100006103516,61694500,408.210571289062
"2022-08-15",424.769989013672,429.410003662109,424.709991455078,428.859985351562,54048300,409.892700195312
"2022-08-16",427.730010986328,431.730010986328,426.880004882812,429.700012207031,59289000,410.695526123047
"2022-08-17",425.910003662109,429.5,424.540008544922,426.649993896484,63563400,407.780426025391
"2022-08-18",426.859985351562,428.609985351562,425.5,427.890014648438,49023200,408.965545654297
"2022-08-19",424.980010986328,425.260009765625,421.220001220703,422.140014648438,68016900,403.469909667969
"2022-08-22",417.049987792969,417.230010986328,412.399993896484,413.350006103516,77695600,395.068634033203
"2022-08-23",412.899993896484,415.420013427734,411.769989013672,412.350006103516,49105200,394.112915039062
"2022-08-24",412.109985351562,415.109985351562,411.390014648438,413.670013427734,49177800,395.374542236328
"2022-08-25",415.239990234375,419.559997558594,414.089996337891,419.510009765625,50942300,400.956237792969
"2022-08-26",419.390014648438,419.959991455078,405.25,405.309997558594,103087000,387.384216308594
"2022-08-29",402.200012207031,405.839996337891,401.200012207031,402.630004882812,65370800,384.822784423828
"2022-08-30",403.850006103516,404.100006103516,396,398.209991455078,85652400,380.598236083984
"2022-08-31",399.929992675781,401.239990234375,395.040008544922,395.179992675781,76029700,377.702209472656
"2022-09-01",392.890014648438,396.779998779297,390.040008544922,396.420013427734,78740100,378.887420654297
"2022-09-02",400.279998779297,401.559997558594,390.329986572266,392.239990234375,99632100,374.892242431641
"2022-09-06",393.130004882812,394.119995117188,388.420013427734,390.760009765625,76637400,373.477783203125
"2022-09-07",390.429992675781,398.589996337891,390.200012207031,397.779998779297,70964200,380.187255859375
"2022-09-08",395.390014648438,400.859985351562,394.119995117188,400.380004882812,80821700,382.672302246094
"2022-09-09",402.739990234375,407.510009765625,402.459991455078,406.600006103516,76706900,388.617156982422
"2022-09-12",408.779998779297,411.730010986328,408.459991455078,410.970001220703,69256300,392.793884277344
"2022-09-13",401.829986572266,403.100006103516,391.920013427734,393.100006103516,122947100,375.714233398438
"2022-09-14",394.470001220703,396.200012207031,391.119995117188,394.600006103516,85023700,377.147918701172
"2022-09-15",392.959991455078,395.959991455078,388.779998779297,390.119995117188,87633800,372.866027832031
"2022-09-16",384.140014648438,386.25,382.109985351562,385.559997558594,103084800,370.021484375
"2022-09-19",382.260009765625,388.549987792969,382.179992675781,388.549987792969,73278500,372.890991210938
"2022-09-20",385.059997558594,386.119995117188,381.200012207031,384.089996337891,77274900,368.610717773438
"2022-09-21",386.109985351562,389.309997558594,377.380004882812,377.390014648438,106746600,362.180755615234
"2022-09-22",376.579986572266,378.299987792969,373.440002441406,374.220001220703,89472600,359.138549804688
"2022-09-23",370.579986572266,370.619995117188,363.290008544922,367.950012207031,122346900,353.121276855469
"2022-09-26",366.410003662109,370.209991455078,363.029998779297,364.309997558594,92581200,349.627868652344
"2022-09-27",368.019989013672,370.399993896484,360.869995117188,363.380004882812,108294100,348.735382080078
"2022-09-28",364.380004882812,372.299987792969,362.600006103516,370.529998779297,110802200,355.597229003906
